Nombre,Apellido(s),"Dirección de correo",Grupos
nombre1,surnombre1, nombre1.surnamme1@educa.madrid.org,1B
nombre2,surnombre2, nombre2.surnamme2@educa.madrid.org,1B
nombre3,surnombre3, nombre3.surnamme3@educa.madrid.org,1B
nombre4,surnombre4, nombre4.surnamme4@educa.madrid.org,1B
nombre5,surnombre5, nombre5.surnamme5@educa.madrid.org,1B
nombre6,surnombre6, nombre6.surnamme6@educa.madrid.org,1B
nombre7,surnombre7, nombre7.surnamme7@educa.madrid.org,1B
nombre8,surnombre8, nombre8.surnamme8@educa.madrid.org,1B
nombre9,surnombre9, nombre9.surnamme9@educa.madrid.org,1B
nombre10,surnombre10, nombre10.surnamme10@educa.madrid.org,1B
nombre11,surnombre11, nombre11.surnamme11@educa.madrid.org,1B
nombre12,surnombre12, nombre12.surnamme12@educa.madrid.org,1B
nombre13,surnombre13, nombre13.surnamme13@educa.madrid.org,1B
nombre14,surnombre14, nombre14.surnamme14@educa.madrid.org,1B
nombre15,surnombre15, nombre15.surnamme15@educa.madrid.org,1B
