"Alumno","NIA","Correo Electrónico","Teléfono","Teléfono de urgencia" 
"surname1, name1", "251095079", "papa1@myuniverse.org", "612998101", "625610621"
"surname2, name2", "737510982", "papa2@myuniverse.org", "620582793", "64262862"
"surname3, name3", "2949611558", "papa3@myuniverse.org", "632021680", "627362465"
"surname4, name4", "1831217298", "papa4@myuniverse.org", "69472482", "612535952"
"surname5, name5", "2137415564", "papa5@myuniverse.org", "624250443", "617049734"
"surname6, name6", "1446418202", "papa6@myuniverse.org", "626856201", "620185527"
"surname7, name7", "1653718045", "papa7@myuniverse.org", "615148876", "610275872"
"surname8, name8", "268112730", "papa8@myuniverse.org", "628424726", "630336727"
"surname9, name9", "3024230293", "papa9@myuniverse.org", "621317280", "611958287"
"surname10, name10", "2328411722", "papa10@myuniverse.org", "628097415", "626402160"
"surname11, name11", "3271214722", "papa11@myuniverse.org", "63271278", "622280845"
"surname12, name12", "228837808", "papa12@myuniverse.org", "617717458", "623348373"
"surname13, name13", "2527117981", "papa13@myuniverse.org", "616422129", "613931953"
"surname14, name14", "1444925075", "papa14@myuniverse.org", "624552485", "618359286"
"surname15, name15", "2769911481", "papa15@myuniverse.org", "61936719", "614502136"
"surname16, name16", "1039210893", "papa16@myuniverse.org", "6824820", "630074177"
"surname17, name17", "1230931751", "papa17@myuniverse.org", "629141315", "617471382"
"surname18, name18", "1748023234", "papa18@myuniverse.org", "632741159", "63065710"
"surname19, name19", "1907517985", "papa19@myuniverse.org", "6475311", "67321180"
"surname20, name20", "1492828883", "papa20@myuniverse.org", "631089932", "63531718"
"surname21, name21", "2588321001", "papa21@myuniverse.org", "61849210", "621660133"
"surname22, name22", "21715848", "papa22@myuniverse.org", "629609759", "619154127"
"surname23, name23", "2607515817", "papa23@myuniverse.org", "617415790", "611822418"
"surname24, name24", "2247315248", "papa24@myuniverse.org", "62442387", "613493312"
"surname25, name25", "1536520402", "papa25@myuniverse.org", "614814870", "631018282"
