"Alumno","NIA","Correo Electrónico","Teléfono","Teléfono de urgencia" 
"apellido1, nombre1", "412212980", "papa1@myuniverse.org", "62017550", "627910956"
"apellido2, nombre2", "2432932001", "papa2@myuniverse.org", "63159669", "610085716"
"apellido3, nombre3", "393015543", "papa3@myuniverse.org", "615716766", "61560677"
"apellido4, nombre4", "279214564", "papa4@myuniverse.org", "624791307", "625061189"
"apellido5, nombre5", "7019988", "papa5@myuniverse.org", "623901903", "68638374"
"apellido6, nombre6", "1898622574", "papa6@myuniverse.org", "617838840", "614981285"
"apellido7, nombre7", "1308431743", "papa7@myuniverse.org", "629022203", "628759958"
"apellido8, nombre8", "1390224765", "papa8@myuniverse.org", "610535373", "614125304"
"apellido9, nombre9", "136717271", "papa9@myuniverse.org", "628782691", "614225108"
"apellido10, nombre10", "20927028", "papa10@myuniverse.org", "619783972", "612541487"
"apellido11, nombre11", "667227", "papa11@myuniverse.org", "63595356", "618385454"
"apellido12, nombre12", "2211718730", "papa12@myuniverse.org", "69766835", "6196423"
"apellido13, nombre13", "31446276", "papa13@myuniverse.org", "629664140", "617685828"
"apellido14, nombre14", "1554212824", "papa14@myuniverse.org", "622923796", "67178826"
"apellido15, nombre15", "235256756", "papa15@myuniverse.org", "6242831", "61538844"
"apellido16, nombre16", "123072321", "papa16@myuniverse.org", "620833808", "62544578"
"apellido17, nombre17", "3609559", "papa17@myuniverse.org", "65379497", "61430372"
"apellido18, nombre18", "693320273", "papa18@myuniverse.org", "625358574", "65659794"
"apellido19, nombre19", "2777814100", "papa19@myuniverse.org", "63281897", "615506840"
"apellido20, nombre20", "251634408", "papa20@myuniverse.org", "68729544", "622599225"
"apellido21, nombre21", "1557321889", "papa21@myuniverse.org", "61226119", "65386780"
"apellido22, nombre22", "2667726316", "papa22@myuniverse.org", "62701797", "62021545"
"apellido23, nombre23", "243115169", "papa23@myuniverse.org", "611595370", "618178724"
"apellido24, nombre24", "599215023", "papa24@myuniverse.org", "629677126", "630099243"
"apellido25, nombre25", "2042913949", "papa25@myuniverse.org", "649433", "615747737"
